L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,Encoding_Resp.stopped,participant,Group,date,expName,psychopyVersion,frameRate,
5971.jpg,9912.jpg,5 Points,5 Points,35 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,1239.4706268340015,q,1.2884885820021736,1240.8221752509999,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
7195.jpg,2487.jpg,2 Points,2 Points,37 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,1245.0707909589983,p,0.8805001240034471,1246.0142623339998,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6840.jpg,3080.jpg,1 Points,1 Points,38 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,1250.2520009590007,q,1.4033816659939475,1251.731599001003,1,2.8850808330025757,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
5510.jpg,2514.jpg,5 Points,5 Points,43 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,1258.9230413760015,None,,,,,,,,1262.6225571260002,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
7170.jpg,2170.jpg,2 Points,2 Points,45 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,1266.4356962930033,p,0.8274412079990725,1267.3324428339984,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6020.jpg,6300.jpg,2 Points,2 Points,47 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,1271.5722335430037,p,1.7699325409994344,1273.4104771679995,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
1942.jpg,2890.jpg,1 Points,1 Points,48 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,1277.6758876259992,q,1.1640186660006293,1278.9107521680053,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6241.jpg,9561.jpg,3 Points,3 Points,51 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,1283.1546124590022,q,1.8849360819949652,1285.112618584004,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
4536.jpg,2280.jpg,4 Points,4 Points,55 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,1289.3511451259983,q,1.0886900830009836,1290.507505501002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6000.jpg,6836.jpg,4 Points,4 Points,59 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,1294.7560725840012,q,1.3143190409973613,1296.133663626002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
8232.jpg,4279.jpg,5 Points,5 Points,64 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,1300.3920395430032,p,1.7421915410013753,1302.2091177930051,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2312.jpg,2722.jpg,1 Points,1 Points,65 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,22,22,22,,,,,,,,,,,,,,,,,,,1306.4341460010037,p,1.5719213320044219,1308.073216126002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2750.jpg,9050.jpg,4 Points,4 Points,69 points,PS2_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,23,23,23,,,,,,,,,,,,,,,,,,,1312.3115587089997,p,2.3657375820039306,1314.7428570839984,,,1325.2242215430015,space,6.325424041002407,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
1113.jpg,1240.jpg,3 Points,3 Points,72 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1334.8613461679997,q,1.184178998999414,1336.1207211680012,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
8220.jpg,2410.jpg,4 Points,4 Points,76 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,1340.3604997510047,p,2.300963291003427,1342.7335302089996,4,2.444672874000389,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
4621.jpg,3550.jpg,2 Points,2 Points,78 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,1349.4867620430014,q,1.214359332996537,1350.7651112509993,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2751.jpg,6313.jpg,3 Points,3 Points,81 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,1355.0049115010042,p,3.6566707069941913,1358.7417673340024,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
4689.jpg,7009.jpg,5 Points,5 Points,86 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,1362.9831177090018,q,1.838345541000308,1364.8980487510053,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6831.jpg,2141.jpg,5 Points,5 Points,91 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,5,5,5,,,,,,,,,,,,,,,,,,,1369.132981458999,p,2.03990133300249,1371.2460027510024,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9417.jpg,6530.jpg,1 Point,1 Point,92 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,6,6,6,,,,,,,,,,,,,,,,,,,1375.4861845429987,p,2.622520873999747,1378.1830357930012,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
7237.jpg,8510.jpg,4 Points,4 Points,96 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,7,7,7,,,,,,,,,,,,,,,,,,,1382.4152878340028,q,1.4291759989937418,1383.917521043004,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
4608.jpg,8320.jpg,1 Point,1 Point,97 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,8,8,8,,,,,,,,,,,,,,,,,,,1388.1563765430037,q,2.0804934999978286,1390.3028702090014,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9254.jpg,9290.jpg,2 Points,2 Points,99 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,9,9,9,,,,,,,,,,,,,,,,,,,1394.5474500839991,p,1.9041352910062415,1396.5247814590039,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9530.jpg,9220.jpg,1 Point,1 Point,100 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,10,10,10,,,,,,,,,,,,,,,,,,,1400.7610330430034,p,2.227033290997497,1403.0458995430017,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2092.jpg,2210.jpg,0 Points,0 Points,100 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,11,11,11,,,,,,,,,,,,,,,,,,,1407.293897126001,q,1.9597686659981264,1409.323872001005,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9500.jpg,6360.jpg,1 Point,1 Point,101 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,12,12,12,,,,,,,,,,,,,,,,,,,1413.589885125999,q,3.10312287400302,1416.7570684590028,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2220.jpg,2010.jpg,5 Points,5 Points,106 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,13,13,13,,,,,,,,,,,,,,,,,,,1420.9960235430044,q,1.7835562489999575,1422.8553524180024,5,2.349477998999646,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
5940.jpg,9411.jpg,0 Points,0 Points,106 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,14,14,14,,,,,,,,,,,,,,,,,,,1429.5065962510052,p,3.049595999000303,1432.6246921260026,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
4533.jpg,2385.jpg,3 Points,3 Points,109 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,15,15,15,,,,,,,,,,,,,,,,,,,1436.8627803760028,q,0.5885709569993196,1437.531778043005,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9340.jpg,6910.jpg,0 Points,0 Points,109 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,16,16,16,,,,,,,,,,,,,,,,,,,1441.7585753759995,p,2.085922332997143,1443.9243229589993,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
8350.jpg,7190.jpg,5 Points,5 Points,114 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,17,17,17,,,,,,,,,,,,,,,,,,,1448.1664846679996,q,1.093049623996194,1449.3391271680011,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6211.jpg,9611.jpg,3 Points,3 Points,117 points ,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,18,18,18,,,,,,,,,,,,,,,,,,,1453.5748796260013,q,1.780304457002785,1455.4196010840024,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2053.jpg,9415.jpg,4 Points,4 Points,121 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,19,19,19,,,,,,,,,,,,,,,,,,,1459.6622920840018,p,1.3490105829987442,1461.071317918002,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2110.jpg,7260.jpg,5 Points,5 Points,126 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,20,20,20,,,,,,,,,,,,,,,,,,,1465.3256822090043,p,1.7108699579985114,1467.1105368760036,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2030.jpg,2495.jpg,0 Points,0 Points,126 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,21,21,21,,,,,,,,,,,,,,,,,,,1471.3482263340047,q,0.6473595830029808,1472.074969418005,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
1302.jpg,2700.jpg,3 Points,3 Points,129 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,22,22,22,,,,,,,,,,,,,,,,,,,1476.308278043005,p,2.2382779570034472,1478.617977834001,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
9010.jpg,9253.jpg,0 Points,0 Points,129 points,PS2_L2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,23,23,23,,,,,,,,,,,,,,,,,,,1482.8539985840034,q,1.0692578329981188,1483.9972242090007,,,1494.4484335430025,space,3.809986749001837,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
1303.jpg,2000.jpg,0 Points,0 Points,129 points,PS2_L3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,1501.5581568339985,p,1.2832464989987784,1502.9125457929986,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2200.jpg,4598.jpg,1 Point,1 Point,130 points,PS2_L3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,1507.153964959005,q,1.9764801659985096,1509.2151131260034,1,2.005106541000714,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
6190.jpg,3120.jpg,5 Points,5 Points,135 points,PS2_L3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,1515.520444834001,q,1.5379407910004375,1517.1356610430012,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
2570.jpg,5500.jpg,3 Points,3 Points,138 points,PS2_L3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,1521.3676526260024,p,0.9140636659940355,1522.3601109590018,,,,,,,272533,B,2024-11-09_16h22.02.766,EPIDM,2023.1.2,None,
